[2026-08-21 20:06:18] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.52 ms
[2026-08-21 20:06:20] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:06:24] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 25.36 ms
[2026-08-21 20:06:36] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:06:37] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.00 ms
[2026-08-21 20:06:39] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.54 ms
[2026-08-21 20:06:39] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:06:39] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:06:39] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:06:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:06:45] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:06:56] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.21 ms
[2026-08-21 20:06:58] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 28.86 ms
[2026-08-21 20:07:01] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:05] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.01 ms
[2026-08-21 20:07:06] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.01 ms
[2026-08-21 20:07:07] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:07] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.53 ms
[2026-08-21 20:07:08] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:09] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 3.97 ms
[2026-08-21 20:07:09] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:11] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:11] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:12] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.09 ms
[2026-08-21 20:07:12] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:13] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.54 ms
[2026-08-21 20:07:14] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:15] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:07:16] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:10:37] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.28 ms
[2026-08-21 20:10:37] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:10:37] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.78 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.22 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:38:43] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:38:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:38:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:38:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:38:44] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.97 ms
[2026-08-21 20:39:13] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:13] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:13] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.01 ms
[2026-08-21 20:39:13] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.06 ms
[2026-08-21 20:39:13] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:13] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.63 ms
[2026-08-21 20:39:14] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.52 ms
[2026-08-21 20:39:14] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:39:14] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:14] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:14] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:39:14] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.80 ms
[2026-08-21 20:39:15] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:15] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:15] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.01 ms
[2026-08-21 20:39:15] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:53] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.51 ms
[2026-08-21 20:39:53] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.02 ms
[2026-08-21 20:39:53] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.01 ms
[2026-08-21 20:39:54] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:54] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:54] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:55] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:55] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.01 ms
[2026-08-21 20:39:56] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:56] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:39:57] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:57] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.00 ms
[2026-08-21 20:39:57] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.69 ms
[2026-08-21 20:39:58] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.05 ms
[2026-08-21 20:39:58] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 2.45 ms
[2026-08-21 20:39:59] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:39:59] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:40:01] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.52 ms
[2026-08-21 20:43:04] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:43:04] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.15 ms
[2026-08-21 20:43:05] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:43:05] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:43:06] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:43:06] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.01 ms
[2026-08-21 20:43:06] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:43:07] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.51 ms
[2026-08-21 20:44:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:10] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:37] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 0.00 ms
[2026-08-21 20:44:37] Cam: Netra_Frontend_Stream (Dynamic Dashboard Camera) | Latency: 1.24 ms
